ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,思明禾祥西路湖滨南路69号厦门电子城,118.0847456054013,24.471718196682385,55556,350,63,3,2,1,南北,24.0,1,满二年,高层,7.0,0,3,10,10,10
2,思明前埔店上东里1-103号前埔南小区(店上东里),118.16978390189621,24.469462686548855,39166,338,86.3,3,2,1,南北,24.0,0,满二年,低层,7.0,0,0,10,10,10
3,思明将军祠文屏巷41-49号文屏花园,118.10200144862095,24.465586754962438,47823,336,70.26,3,2,2,南北,34.0,1,满二年,低层,7.0,2,2,10,10,10
4,翔安隧道口刘五店滨海东大道与东界路交叉口东侧保利中交雲上(新房),118.19465711323419,24.568005548249378,35956,320,89,3,2,2,南,,0,,,,0,0,0,0,0
5,思明东浦路东浦一里23-77号建发花园(三期),118.11930844606171,24.474959575156586,49557,598,120.67,3,2,2,南北,20.0,1,满五年,中层,11.0,5,3,10,10,10
6,"湖里嘉园路嘉兴里1-58号,嘉园里1-47号永升新城",118.11025341130507,24.520767974308182,31777,245,77.1,2,2,1,南北,22.0,0,,高层,8.0,2,2,9,10,10
7,思明湖滨北路云顶北路与金山中路交叉口东南侧招商湾湖臻境,118.15585629441857,24.505436174917403,66026,515,78,3,2,1,南,,0,,,,0,7,10,10,10
8,湖里南山南山路161-246号康乐新村二期,118.10573828153007,24.50700901229795,37403,288,77,2,2,1,南,28.0,0,,高层,8.0,1,1,10,10,10
9,"思明火车站厦禾路913号,湖滨东路2号华星大厦",118.10993785811941,24.472523254561928,39419,358,90.82,3,2,2,南北,28.0,1,满五年,高层,30.0,2,3,10,10,10
10,集美杏东路宁海五里32-42号联发杏林湾一号(一期公寓住宅),118.05886289545225,24.561750414224345,26333,340,129.12,3,2,2,南,8.0,0,,中层,41.0,0,2,8,10,10
11,思明将军祠阳台山路20-28号阳台山路20-28号小区,118.0975794286435,24.460641002234695,59020,550,93.19,4,2,2,南北,26.0,1,满五年,低层,7.0,2,6,10,10,10
12,湖里湖里大道悦华路107-141号悦华公寓,118.10296859830363,24.517976315456377,32785,259,79,3,2,1,南北,24.0,1,,高层,6.0,0,0,9,10,10
13,翔安翔安新城洪钟大道与洞庭路交叉口东南侧首创禧瑞风华,118.24951938977873,24.56954216084778,32215,480,149,4,2,3,南,,0,,,,0,0,5,10,10
14,集美杏东路宁海一里33-48号万科金域华府(二期),118.05819233858122,24.566584397333987,25235,320,126.81,4,2,2,南,9.0,0,,低层,42.0,0,3,10,10,10
15,思明火车站双涵路16-40号裕康花园,118.11229734529118,24.476106376838242,45333,438,96.62,3,2,2,西南,24.0,1,满五年,低层,7.0,4,4,10,10,10
16,集美集美新城杏锦路与杏林北二路交叉口西北侧(地铁1号线杏锦路站2号口)住宅水晶地铁公元(新房),118.05372671866475,24.583127823479984,32143,450,140,4,2,2,南,,0,,,,2,4,10,10,10
17,湖里嘉园路悦华路217-247号龙腾花园二期,118.11240492687328,24.51802437523231,28100,340,121,3,2,1,南,21.0,1,满五年,高层,6.0,2,3,10,10,10
18,"湖里悦华路华昌路137-175号,悦华路5-21号古龙公寓",118.09223415465682,24.517832615172754,53060,150,28.27,2,2,1,北,19.0,0,,高层,9.0,0,0,0,4,10
19,湖里南山南山路404-433号禹洲新村,118.11245003447591,24.50559902747537,35278,228,64.63,2,1,1,南北,21.0,1,满二年,中层,9.0,1,2,10,10,10
20,集美集美新城兑英中路(华侨大学集美附属学校对面)联发臻荣府,118.07371711029698,24.614882195760508,35000,420,120,4,2,2,南,,0,,,,1,1,10,9,10
21,"湖里嘉园路嘉园路41,207-273,277-317号芙蓉苑",118.10731017266743,24.52104971088558,31977,275,86,3,2,1,南,27.0,1,满五年,高层,7.0,1,1,10,10,10
22,思明松柏嘉禾路297号宝龙中心(一期),118.12194594127142,24.491020841842403,46528,339,72.86,2,2,1,北,24.0,1,满五年,中层,28.0,2,3,10,10,10
23,同安环东海域滨海浪漫线红林路与东安路交汇处中旅海玥(新房),118.12049905738462,24.60017381761033,33708,300,89,3,2,2,南,,0,,,,1,0,10,10,10
